Hanji,POJ,English,Chinese
"三太子","Sam-thài-chú","The Third Prince (a deity).","即李哪吒，是封神榜中的人物之一。民間信仰中又稱為「三太子爺」、「中壇元帥」等，道教將其奉為五營神兵神將的統帥之一，道士施法時皆會請哪吒相助。"
"三層","sam-chân","Pork belly.","五花肉。指肥瘦夾雜的豬肉。"
"三層肉","sam-chân-bah","Pork belly.","五花肉。指肥瘦夾雜的豬肉。"
"三山國王","Sam-san-kok-ông","Three Mountain Kings (deities).","在臺灣各地都有祭祀的廟宇，香火鼎盛，是客家族群和潮州人的守護神。"
"三心兩意","sam-sim-lióng-ì","Indecisive.","形容猶豫不決，意志不堅。"
"三思","sàm-su","To think thrice.","謹慎、仔細的考慮。"
"三文魚","sam-bûn-hî/sam-bûn-hû","Salmon.","指鮭魚。過去常用來製成罐頭。借自英語salmon。"
"三更","saⁿ-keⁿ/saⁿ-kiⁿ","The third watch of the night (11 PM - 1 AM).","子時、中夜。指夜間十一時至隔天凌晨一時。"
"三更半暝","saⁿ-keⁿ-pòaⁿ-mê/saⁿ-kiⁿ-pòaⁿ-mî","In the middle of the night.","三更半夜；深夜。"
"三牲","sam-seng","Three kinds of sacrificial animals.","本指牛、羊、豬等三種祭品。今則多指雞、魚、豬等三種祭品。"
"三界公","Sam-kài-kong","The Three Great Emperor-Officials (deities).","三官大帝、三界爺。道教中地位僅次於玉皇大帝的天、地、水三官，分別掌管賜福、赦罪、解厄。"
"三界娘仔","sam-kài-niû-á","A type of small fish.","將魚、食蚊魚。魚名。是臺灣瀕臨絕種魚類之一，類似大肚魚，大多生長在清水溝及稻田內，可以食用。"
"三絃","sam-hiân","A three-stringed musical instrument.","樂器名。有三根絃的彈撥樂器，音色非常清脆，分為大三絃和小三絃，構造都相同，是說唱音樂和各種地方戲曲中的重要樂器。"
"三線路","sam-sòaⁿ-lō͘","A three-lane road.","日治時期將臺北府城拆除，興建由安全島分隔成3個分隔道的道路，約如今日之中山南路、愛國西路、中華路、忠孝西路。也指由樹木安全島分隔成的三線大道。"
"三肢手","saⁿ-ki-chhiú","Pickpocket.","扒手、三隻手。專門在公共場所偷取人家財物的小偷。"
"三角","saⁿ-kak","Triangle.","三角形。"
"三角窗","saⁿ-kak-thang","A corner house.","位於路口轉角處的房子。"
"三角褲","saⁿ-kak-khò͘","Briefs (underwear).","一種三角樣式的貼身內褲。"
"三跤貓","saⁿ-kha-niau","A jack of all trades, master of none.","三腳貓。形容技藝不精、不中用的人。"
"三跤馬","saⁿ-kha-bé","Tripod.","三腳架、三角架。用來安放、架設照相機及測量儀器的器具。有三個支柱的架子。"
"三輪車","saⁿ-lián-chhia","Tricycle.","車子的一種，前為一輪，後為兩輪的車子，可用來作交通工具，或是小孩的遊戲車。"
"三長兩短","saⁿ-tn̂g-nn̄g-té","Unexpected misfortune (often death).","指意外不測、變故，多指死亡。"
"三除四扣","saⁿ-tû-sì-khàu","With many deductions.","東扣西扣。指扣除的項目很多。"
"三頓","saⁿ tǹg","Three meals.","三餐。"
"上久","siōng-kú","The longest.","最久。"
"上任","chiūⁿ-jīm/chiūⁿ-līm","To take office.","就職。擔任職務。"
"上元","Siōng-goân","The Lantern Festival.","元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。"
"上元暝","Siōng-goân-mê/Siōng-goân-mî","The Lantern Festival night.","元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。"
"上加","siōng-ke","At most.","最多、頂多。"
"上北","chiūⁿ-pak","To go north.","北上。臺灣地理的觀念上，以北為上，南為下，所以向北出發即是「上北」。"
"上午","siōng-ngó͘","Morning.","清晨到中午之間。"
"上卌袂攝","chiūⁿ-siap-bē-liap/chiūⁿ-siap-bōe-liap","A saying about middle-age decline.","卌為四十的意思，上卌表示人到中年的意思。這句話表示人到中年萬事休，生理機能走下坡，心理也逐漸失去青年時期意氣風發的理想。"
"上天","siōng-thian","Heaven.","上蒼。對具有無窮力量的天或是天上神明的總稱。"
"上好","siōng hó","The best.","最好、最佳的表現。"
"上尺工","siāng-chhe-kong","Musical notes in the Gongche notation.","標示在工尺譜上的音階名。「上」表示首調唱名法中的Do，「尺」表示首調唱名法中的Re，「工」表示首調唱名法中的Mi。"
"上山","chiūⁿ-soaⁿ","To go up a mountain.","登山、爬山。"
"上崎","chiūⁿ-kiā","To go uphill.","上坡。"
"上市","chiūⁿ-chhī","To be listed on the market.","物品、股票等開始在市場上發售或買賣。"
"上帝","Siōng-tè","God.","傳說中創造萬物的神祇。"
"上帝公","Siōng-tè-kong","A supreme deity (Xuantian Shangdi).","玄天上帝、北極玄天上帝。又稱玄武文帝，腳踏龜蛇，右手執劍，左手印訣，民間俗傳玄天上帝生前以殺豬、販賣豬肉維生，後來放下屠刀，立地成佛。"
"上手","chiūⁿ-chhiú","To get the hang of it.","對技術或工作已掌握熟練，駕馭自如。"
"上桌","chiūⁿ-toh","To be seated at a banquet.","指客人赴宴就席。"
"上殕","chhiūⁿ-phú","To get moldy.","發霉。"
"上水","chhiūⁿ-chúi","To draw water from a well.","從水井裡取水上來。"
"上濟","siōng chē/siōng chōe","The most.","最多。指數量上的多寡。"
"上目","chiūⁿ-ba̍k","To look up to.","瞧得起；看得上眼。"
"上等","siōng-téng","Top grade.","最高等級或最優異的品等。"
"上緊","siōng kín","The fastest.","最快。"
"上聲","sióng-siaⁿ","The rising tone (in Chinese phonology).","漢語的調類之一。在現代國音音系中為第三聲，注音符號用「ˇ」來表示。臺羅音標系統中，調號為「2」的字音就是上聲調。"
"上蓋","siōng-kài","Extremely.","非常、最。"
"上訴","siōng-sò͘","To appeal (a legal case).","原意是指向神明、官府、上級陳述。現在多指法律上不服下級法院的判決，轉而向上一級法院提出訴訟，請求改判。"
"上課","siōng-khò","To teach a class.","授課、教課。老師教導學生。"
"上青苔","chhiūⁿ-chheⁿ-thî/chhiūⁿ-chhiⁿ-thî","To grow moss.","長青苔。"
"上頭仔","siōng-thâu-á","The very beginning.","最初、最前頭。"
"下元","Hā-goân","The 15th day of the 10th lunar month festival.","下元節。傳統民俗節日之一。農曆十月十五日為三官大帝的誕辰，通常在十月十四日晚間十一點開始祭拜，主要供品為甜湯圓、「麻粩」(môa-láu)、「米粩」(bí-láu)。"
"下勻","ē-ûn","Younger generation.","後輩、晚輩。"
"下午","hā-ngó͘","Afternoon.","中午過後的時間，指中午十二點到黃昏前的一段時間。"
"下半暝","ē-pòaⁿ-mê/ē-pòaⁿ-mî","The second half of the night.","下半夜、後半夜。夜晚十二點以後到天亮的時間。"
"下司","ē-si","Subordinate.","下屬、手下。"
"下山","hā-san","To leave a place of spiritual practice.","常用在戲曲的對白，指修行人要離開修行的地點。"
"下底","ē-té/ē-tóe","Below.","下面、底下。與「頂面」(téng-bīn)相對。"
"下性命","hē-sèⁿ-miā/hē-sìⁿ-miā","To risk one's life.","拚命。豁出性命，全力以赴。"
"下手","hē-chhiú","To start doing something.","動手去做。"
"下手","ē-chhiú","Buyer.","商業活動中買進貨物的人。"
"下擺","ē-pái","Next time.","下次、下回。"
"下早仔","e-chái-á","Morning.","早上。"
"下昏","e-hng","Evening.","晚上。"
"下昏暗","e-hng-àm","Tonight.","今晚、今天晚上。"
"下晝","ē-tàu","Afternoon.","下午。"
"下晡","ē-po͘","Afternoon.","下午。"
"下暗","e-àm","Tonight.","晚上、今晚。"
"下本","hē-pún","To invest capital.","投入本錢。"
"下水","hā-súi","Giblets.","內臟。雞、鴨等禽類動物的內臟。"
"下水湯","hā-súi-thng","Giblet soup.","用雞、鴨等禽類動物的內臟及佐料所做成的湯品。"
"下港","ē-káng","Southern Taiwan.","指臺灣南部地方。"
"下痟","hā-siau","A type of diabetes (TCM).","傳統中醫對消渴症的三種辨證法之一，又稱「腎消」，症狀為多尿且傷腎水。"
"下落","hē-lo̍h","Whereabouts.","去向、去處。"
"下跤","ē-kha","Below.","下面、底下。"
"下跤手人","ē-kha-chhiú-lâng","Subordinate.","手下、下屬。從事打雜工作的部屬。"
"下輩","ē-pòe","Younger generation.","晚輩、後輩。子姪輩或是輩分較低的人。"
"下頦","ē-hâi","Chin.","下巴。臉部嘴脣以下的部位。"
"下顎","ē-kok","Jaw.","下巴。一般稱「下巴」為「下頦」(ē-hâi)，「下顎」多在面相當中使用。"
"下願","hē-goān","To make a vow.","發願、許願。"
"下𦜆","ē-ham","Chin.","下巴、下顎。"
"不三不四","put-sam-put-sù","Improper.","不正經、不像樣、不倫不類。"
"不中用","put-tiòng-iōng","Not useful.","東西不合用、不好使用。"
"不仁","put-jîn/put-lîn","Unkind.","不厚道、不仁慈，沒有慈愛之心。"
"不但","put-tān","Not only.","不只。表示前一句話尚未完結，還有承接下面的語意。"
"不動產","put-tōng-sán","Real estate.","泛指土地及附著於土地上的定著物和改良物。"
"不孝","put-hàu","Unfilial.","對長輩不孝順。"
"不得了","put-tek-liáu","Terrible.","了不得。形容狀況嚴重。"
"不得已","put-tek-í","To have no alternative.","無可奈何、不得不如此。"
"不才","put-châi","I (humble).","第一人稱的自謙之詞。也就是「我」的意思。"
"不敢當","put-kám-tong","I don't deserve it (humble).","謙讓之詞，表示承受不起、不敢接受。"
"不時","put-sî","Frequently.","隨時、經常。無論什麼時候。"
"不服","put-ho̍k","Unconvinced.","心裡不服氣、不甘心。"
"不止","put-chí","More than.","超出某一特定的範圍或數目。"
"不止仔","put-chí-á","Extremely.","非常、相當的意思。"
"不死鬼","put-sú-kúi","A lecherous man.","形容男性好色，不要臉。"
"不求人","put-kiû-jîn/put-kiû-lîn","A back scratcher.","如意。搔癢的器具，又叫做「孫仔手」(sun-á-chhiú)、「阿孫手」(a-sun-chhiú)。"
"不法","put-hoat","Illegal.","不守法、違法。違反法律的意圖或者行為。"
"不滿","put-boán","Dissatisfied.","不符合心意。"
"不答不七","put-tap-put-chhit","Improper.","不三不四、不像樣。"
"不管時","put-koán-sî","Anytime.","隨時、任何時候。"
"不義","put-gī","Injustice.","不合道德的行為。"
"不而過","put-jî-kò/put-lî-kò","But.","但是、不過。"
"丑仔","thiú-á","A comical role.","滑稽的腳色。"
"中人","tiong-lâng","Mediator.","居中為人介紹或作證之人。"
"中傷","tiòng-siong","To slander.","惡意攻擊或陷害他人。"
"中元","Tiong-goân","The Ghost Festival.","中元節。我國傳統民俗節日之一。農曆七月十五日，在這一天除了要參加廟裡為孤魂野鬼所舉辦的普渡之外，也會準備豐盛的飯菜在自家門口祭拜好兄弟，俗稱「拜門口」(pài mn̂g-kháu)。傳說如果供品太少或飯菜不夠豐盛就會遭到好兄弟的報復，所以中元節是一年之中祭品最多的節日。"
"中古","tiong-kó͘","Second-hand.","半新不舊。"
"中和","tiong-hô","Fair and peaceful.","公正和平。"
"中學","tiong-ha̍k","Middle school.","指實施中等教育的學校，程度介於小學和大學之間，舊分初高兩級，期限各三年，今初級中學已經劃入國民中小學九年一貫的教育範疇內。"
"中心","tiong-sim","Center.","正中央的位置。"
"中意","tèng-ì","To one's liking.","合人心意。"
"中指","tiong-cháiⁿ","Middle finger.","第三根手指頭。"
"中旬","tiong-sûn","The middle ten days of a month.","每月當中的十一日至二十日。"
"中晝","tiong-tàu","Noon.","中午、午時。"
"中晝時","tiong-tàu-sî","Noon.","中午。"
"中晝頓","tiong-tàu-tǹg","Lunch.","午餐、午飯。"
"中晝飯","tiong-tàu-pn̄g","Lunch.","中餐、午飯。"
"中毒","tiòng-to̍k","To be poisoned.","有害的物質進入人體或動物體內，造成生物體機能障礙或死亡。"
"中用","tiòng-iōng","Useful.","物品很好使用，容易使用。"
"中秋","Tiong-chhiu","The Mid-Autumn Festival.","中秋節、八月節。我國傳統民俗節日之一。農曆八月十五日，與春節、端午節並列為民間三大傳統節日。通常這天全家會團聚在一起吃月餅、吃柚子、賞月。"
"中秋節","Tiong-chhiu-cheh/Tiong-chhiu-choeh","The Mid-Autumn Festival.","中秋節、八月節。我國傳統民俗節日之一。農曆八月十五日，與春節、端午節並列為民間三大傳統節日。通常這天全家會團聚在一起吃月餅、吃柚子、賞月。"
"中秋餅","Tiong-chhiu-piáⁿ","Mooncake.","月餅。一種包餡的糕餅點心，為中秋節應時的食品。"
"中立","tiong-li̍p","Neutral.","不偏袒。"
"中等","tiong-téng","Medium.","不高不低、普通的程度。"
"中脊","tiong-chit","Ridgepole.","屋頂上頭，最高的那一根橫樑。"
"中計","tiòng-kè","To fall into a trap.","中圈套。落入計謀、圈套；遭人暗算。"
"中途","tiong-tô͘","Halfway.","半路、半途。路途之中。"
"中醫","tiong-i","Traditional Chinese medicine.","中國傳統的醫學。"
"中間","tiong-kan","In the middle of.","指某一時間或事件發展的過程中的一部分。"
"中風","tiòng-hong","Stroke (medical).","腦溢血、腦中風。病名。因腦血管硬化、破裂，造成腦內出血，壓迫到腦神經。往往會使病人昏迷、死亡或肢體麻木、言語行動不便。"
"丸仔","oân-á","Ball.","丸子。團狀、丸狀的東西或食品。"
"丹毒","tan-to̍k","Erysipelas (a skin infection).","病名。一種散播性鏈球菌所引起的組織炎及淋巴管炎。患部皮膚紅腫、疼痛、易蔓延，多半引起高燒、淋巴腺腫及腦膜炎等併發症。"
"丹田","tan-tiân","A point below the navel (in qigong).","指人肚臍下面一寸半或三寸的地方。"
"久久","kú-kú","For a long time.","經過一段相當長久的時間。"
"久仰","kiú-gióng","I've heard so much about you.","非常仰慕、仰慕很久了。是人際交往時初次見面的客套話。"
"久來","kú--lâi","Over time.","久而久之。"
"久見","kiú-kiàn","Long time no see.","久違。好久不見，為久別重逢的寒暄語。"
"久長","kú-tn̂g","For a long time.","長久。時間長遠悠久。"
"久長病","kú-tn̂g-pēⁿ/kú-tn̂g-pīⁿ","Chronic illness.","久病、慢性病。"
"九孔","káu-kháng","Abalone.","貝類。貝葉為橢圓形，上面有九個上下的吸水孔，喜歡棲息在數公尺深的岩礁地形中。有野生採集和人工養殖兩種來源，可以做為海鮮食材，是臺灣東北角、東部海岸及澎湖縣等岩岸地區的著名水產養殖貝類。"
"九層塔","káu-chàn-thah","Basil.","草本植物，脣形科羅勒屬。花的顏色有白色、紫色等，因為花苞為九層狀，尖端排列成九行，所以稱為「九層塔」。其嫩莖跟葉子可食用，具有特殊香氣。"
"九芎仔","kiú-kiong-á","Subcostate crape myrtle tree.","九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。"
"乞的","khit--ê","Adopted child.","養子女。"
"乞食","khit-chia̍h","Beggar.","乞丐、叫花子。靠要錢、要飯過活的人。"
"乞食命","khit-chia̍h-miā","A beggar's fate.","指生來就得靠要錢、要飯過日子的命運。"
"乞食琴","khit-chia̍h-khîm","A two-stringed lute (yueqin).","月琴。弦樂器。用木頭製成，琴身為扁圓形或八角形，有四絃或三絃，用撥子彈奏。臺灣的月琴只有兩絃，俗稱為「乞食琴」。"
"乞食頭","khit-chia̍h-thâu","The head of the beggars.","乞丐頭子。乞丐的首領。"
"也好","iā hó","That's fine too.","也好、也行。"
"也是","iā sī","Also.","還是、也是。"
"了了","liáu-liáu","All gone.","光光、窮盡、完全沒有了。當作動詞補語。"
"了了","--liáu-liáu","All of them.","全都是。表示數量多或加強語氣。"
"了工","liáu-kang","Wasted effort.","白費工夫。"
"了後","liáu-āu","Afterwards.","之後。"
"了本","liáu-pún","To lose capital.","蝕本、虧本。"
"了然","liáu-jiân/liáu-liân","In vain.","枉然、枉費。"
"了錢","liáu-chîⁿ","To lose money.","賠錢、虧本。"
"予伊","hō͘ i","Let him","讓；表祈使義的介詞。"
"二九暝","Jī-káu-mê/Lī-káu-mî","New Year's Eve.","除夕、大年夜。"
"二房","jī-pâng/lī-pâng","The second son's branch of a family.","家族中次男的支系。"
"二手","jī-chhiú/lī-chhiú","Assistant.","副手、助手、助理。技術工作中的助手、協助處理事務的人。"
"二指","jī-cháiⁿ/lī-cháiⁿ","Index finger.","食指。"
"二步七仔","--jī-pō͘-chhit-á/--lī-pō͘-chhit-á","Some skill.","本事、本領。形容人對事情有一點處理的本事、能力。"
"五仁","ngó͘-jîn/ngó͘-lîn","To clown around.","插科打諢。形容人行為滑稽、詼諧，逗人發笑。"
"五分仔車","gō͘-hun-á-chhia","A small train (for sugarcane).","五分車、小火車。早期用作載運甘蔗到糖廠的小火車，也可以當作短程客運使用。"
"五分車","gō͘-hun-chhia","A small train (for sugarcane).","小火車。早期用作載運甘蔗到糖廠的小火車，也可以當作短程客運使用。"
"五加皮","ngó͘-ka-pî","A type of medicinal liquor.","以五加樹的根部的樹皮所泡製而成的藥酒。藥性辛溫無毒，有袪風溼、強筋骨的功效，可治疝氣、腹病及陽痿。"
"五彩","ngó͘-chhái","Multicolor.","形容顏色眾多繽紛。"
"五日節","Gō͘-ji̍t-cheh/Gō͘-li̍t-choeh","The Dragon Boat Festival.","端午節。農曆五月初五。與春節、中秋節並列為民間三大傳統節日。有吃粽子和龍舟競渡等風俗，也會插蒲艾、喝雄黃酒、掛鍾馗像來除瘟辟邪。"
"五月節","Gō͘-goe̍h-cheh/Gō͘-ge̍h-choeh","The Dragon Boat Festival.","端午節。農曆五月初五。與春節、中秋節並列為民間三大傳統節日。有吃粽子和龍舟競渡等風俗，也會插蒲艾、喝雄黃酒、掛鍾馗像來除瘟辟邪。"
"五柳居","ngó͘-liú-ki/ngó͘-liú-ku","Sweet and sour fish.","糖醋魚。菜餚名稱，一種臺灣閩南菜系的糖醋魚烹調法。"
"五福","ngó͘-hok","The five blessings.","指壽、富、康寧、攸好德、考終命等五種福氣，也有指壽、富、貴、安樂、子孫眾多五種福氣。"
"五穀","ngó͘-kok","The five grains.","泛指各種主要的穀物。普通說法以稻、小米、高梁、大麥、豆類為五穀。"
"五筋膎","gō͘-kin-kê/gō͘-kun-kôe","Knuckles used for hitting.","手指併攏彎曲時，突出的指關節，通常用於擊人頭部。"
"五臟","ngó͘-chōng","The five internal organs.","指心、肝、脾、肺、腎等五大器官，也可泛指一切內臟。"
"五路","ngó͘-lō͘","All directions.","各路、各處。指東、西、南、北、中五個方向。"
"五金","ngó͘-kim","Hardware.","金、銀、銅、鐵、錫(或鉛)五種金屬；也用來泛指各種金屬製品。"
"五金行","ngó͘-kim-hâng","Hardware store.","販賣各種金屬用品的商店，可以分為家庭五金和機械五金。"
"五香","ngó͘-hiang","Five-spice powder.","指茴香、花椒、八角、桂皮、丁香五種香料，是烹調食物時所添加的佐料。"
"井水","chéⁿ-chúi/chíⁿ-chúi","Well water.","井中的水。"
"亡魂","bông-hûn","The soul of the deceased.","死者的靈魂。"
"人中","jîn-tiong/lîn-tiong","The groove below the nose.","人臉部鼻子下，嘴脣上方凹下部分。"
"人事","jîn-sū/lîn-sū","Personnel matters.","機關中的人員升調、獎懲、任免等事務。"
"人人","lâng-lâng","Everyone.","每一個人。"
"人倫","jîn-lûn/lîn-lûn","Human relationships.","人類的倫常，人類相處的各種關係。"
"人參","jîn-sim/lîn-sim","Ginseng.","草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。"
"人員","jîn-oân/lîn-oân","Personnel.","擔任某種職務的人。"
"人客","lâng-kheh","Guest.","客人、賓客、顧客。"
"人家","jîn-ke/lîn-ke","House.","住宅、民家。"
"人工","lâng-kang","Manpower.","人力、人手。人的勞動力或是指可以工作的人。"
"人影","lâng-iáⁿ","A person's shadow.","人的影子，也可以用來指人。"
"人情","jîn-chêng/lîn-chêng","A favor.","恩惠、恩情。"
"人才","lâng-châi","Appearance.","外表、儀容。"
"人望","jîn-bōng/lîn-bōng","Public gaze.","眾人矚目。"
"人格","jîn-keh/lîn-keh","Character.","品格、品性。"
"人權","jîn-khoân/lîn-khoân","Human rights.","人生來就有的權利或是指人民在法律上所享有的權利，包括自由、人身安全、工作、受教育、集會結社、宗教信仰、財產等一切的人身權及民主權利。"
"人民","jîn-bîn/lîn-bîn","The people.","百姓、國民。居住在一國家內具有應享權利與應盡義務的人。"
"人氣","jîn-khì/lîn-khì","Popularity.","人緣、人望。源自日語「人気（にんき）」。"
"人物","jîn-bu̍t/lîn-bu̍t","A person of character and talent.","有品格、才能出眾的人。"
"人生","jîn-seng/lîn-seng","A person's life.","人的一生、生命歷程。"
"人範","lâng-pān","Moral example.","人品。指人的外在面貌或儀表。"
"人緣","lâng-iân","Popularity.","與人相處時，其相貌、個性、舉止受人歡迎的狀況。"
"人造","jîn-chō/lîn-chō","Artificial.","由人工製造而成的。"
"人面","lâng-bīn","Connections.","人脈。"
"人頭","lâng-thâu","A person's head.","人的頭部。"
"人馬","jîn-má/lîn-má","Troops and horses.","兵馬。泛指軍隊和武力裝備，及有相當力量的聚合人群。"
"仁丹","jîn-tan/lîn-tan","A type of refreshing pellet.","一種含於口中的小藥丸，清涼提神。源自日語「仁丹（じんたん）」。"
"仁愛","jîn-ài/lîn-ài","Benevolence.","仁厚慈愛。"
"仁慈","jîn-chû/lîn-chû","Merciful.","和善、善良。慈悲，寬大慈善。"
"仁義","jîn-gī/lîn-gī","Benevolence and righteousness.","仁愛正義、寬厚正直。"
"今仔","taⁿ-á","Just now.","剛剛、剛才。"
"今仔日","kin-á-ji̍t/kin-á-li̍t","Today.","今天、今日。"
"今年","kin-nî","This year.","本年。說話時的這一年。"
"介在","kài-chāi","To lie in.","在於。"
"介紹","kài-siāu","To introduce.","引薦。居間接洽、牽合雙方認識。"
"低厝仔","kē-chhù-á","A low and humble house.","簡陋又低矮的房子。"
"低級","kē-kip","Low-grade.","比較低下的級別，相對於「高級」而言。"
"低路","kē-lō͘","Incompetent.","低能。指不中用。"
"低音","kē-im","Bass (in music).","樂譜中其音低於基礎音者。"
"允人","ín--lâng/ún--lâng","To promise someone.","答應別人。"
"允准","ín-chún/ún-chún","To approve.","允許、准許。"
"元宵","Goân-siau","The Lantern Festival.","元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。"
"元氣","goân-khì","Energy.","精神。指一個人的體力氣力。源自日語。"
"元神","goân-sîn","Spirit.","指人的精神、靈魂。"
"元首","goân-siú","Head of state.","一國最高的首長。在君主國家，大多為世襲的君主；在共和國家則稱作總統、主席等，大致由直接或間接選舉產生。"
"入厝","ji̍p-chhù/li̍p-chhù","To move into a new house.","新居落成，搬入新家。"
"入土","ji̍p-thó͘/li̍p-thó͘","Burial.","埋葬。將亡者的遺體葬入土中。"
"入場","ji̍p-tiûⁿ/li̍p-tiûⁿ","To enter a venue.","進場。進入會場、試場或戲院等特定場所。"
"入學","ji̍p-o̍h/li̍p-o̍h","To start school.","開始進入學校學習、求學。"
"入教","ji̍p-kàu/li̍p-kàu","To join a religion.","信教、皈依。"
"入木","ji̍p-bo̍k/li̍p-bo̍k","Encoffining.","入殮。把死者放進棺木中。"
"入殮","ji̍p-liām/li̍p-liām","To place a body in a coffin.","將亡者的遺體放入棺木中。"
"入耳","ji̍p-ní/li̍p-ní","To be heard.","聽進耳裡。"
"入聲","ji̍p-siaⁿ/li̍p-siaⁿ","The entering tone (in Taigi)","台語七聲八調的第四、八調，以塞音為韻尾的促音節。"
"入選","ji̍p-soán/li̍p-soán","To be selected.","中選。被選上、被選入。"
"入門","ji̍p-mn̂g/li̍p-mn̂g","To enter a door.","進門。"
"入院","ji̍p-īⁿ/li̍p-īⁿ","To be hospitalized.","住院。因為生病住進醫院就醫。"
"內䘥仔","lāi-kah-á","Sleeveless undershirt.","無袖內衣。"
"內傷","lāi-siong","Internal injury.","指身體內部器官所受的傷害。"
